Tanggal,Prediksi
2023-12-30,188.83652
2023-12-31,188.47879
2024-01-01,188.2326
2024-01-02,187.84483
2024-01-03,187.4437
2024-01-04,187.05756
2024-01-05,186.68468
2024-01-06,186.32181
2024-01-07,185.9657
2024-01-08,185.61432
